Type,Title,Price,Location,Beds,Baths,Area,Date
House,Brand New 500 Yards 500 + 500 Pair And 1000 Yards Luxury Bungalow For Sale,20.25 Crore,"DHA Defence, Karachi",5,6,500 Sq. Yd.,Added: 3 hours ago
House,GULSHAN E MAYMAR SECTOR Y  200 SQ-YRD  BANGLOW AVAILABLE FOR SALE,2.9 Crore,"Gulshan-e-Maymar, Gadap Town",3,4,200 Sq. Yd.,Added: 3 hours ago
House,Direct Owner Meeting Well Maintained,6.75 Crore,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",6,6,400 Sq. Yd.,Added: 3 hours ago
House,Bungalow For Sale 2000 Square Yards In DHA Phase 6,46 Crore,"DHA Phase 6, DHA Defence",8,7,"2,000 Sq. Yd.",Added: 9 minutes ago
House,Bungalow for Sale 600 Square Yards In DHA Phase 8 Zone A,17.6 Crore,"DHA Phase 8 - Zone A, DHA Phase 8",5,6,600 Sq. Yd.,Added: 9 minutes ago
House,Park Face 120 Square Yards G+2 leased House For Sale in Sector R Gulshan E Maymar,2.2 Crore,"Gulshan-e-Maymar - Sector R, Gulshan-e-Maymar",4,5,120 Sq. Yd.,Added: 41 minutes ago
House,"120 SQUARE YARDS G+1 HOUSE AVAILABLE FOR SALE IN SECTOR R 3, GULSHAN E MAYMAR",1.8 Crore,"Gulshan-e-Maymar - Sector R, Gulshan-e-Maymar",4,5,120 Sq. Yd.,Added: 42 minutes ago
House,"Ready to move 272sq yd 5Bedroom DDL Luxury Villa FOR SALE. Only 3km from Main Entrance of BTK. Near MIDWAY Commercial, Parks, Masjid and Gallery.",3.25 Crore,"Bahria Town - Precinct 6, Bahria Town Karachi",5,5,272 Sq. Yd.,Added: 42 minutes ago
House,Out class location. & stylish construction 200 sq double story bungalow for sale block J North Nazimabad,7.4 Crore,"North Nazimabad - Block J, North Nazimabad",9,6,200 Sq. Yd.,Added: 51 minutes ago
House,300 Yards Bungalow With Basement For Sale,8.25 Crore,"DHA Phase 7, DHA Defence",5,6,300 Sq. Yd.,Added: 1 hour ago
